"";"UserId";"ReadingSessionNumber";"SessionLength";"DisengagementDuration";"DialogDuration";"DisruptedEngagementDuration";"EngagementProportion";"DisengagementProportion";"DialogAndDisengagementProportion";"PotentialReadingSessionArtefact"
"67";"44";4;68,1411166666667;10,3422666666667;0;0;0,848222817990215;0,151777182009785;0,151777182009785;FALSE
"68";"44";5;61,5741;3,32428333333333;0;0;0,946011661829676;0,0539883381703238;0,0539883381703238;FALSE
"69";"45";1;74,5342666666667;0,0110666666666667;1,05675;0;0,985673479938534;0,000148477568259431;0,0143265200614661;FALSE
"70";"46";1;51,3358666666667;7,26896666666667;0,728333333333333;0,238783333333333;0,839564735766287;0,141596258885925;0,155783870406396;FALSE
"71";"47";1;22,6119833333333;0,0798333333333333;0,835866666666667;0,0076;0,959167668470774;0,00353057633894712;0,0404962265583367;FALSE
"72";"48";1;50,2908666666667;0,240233333333333;0,975683333333333;0,1267;0,973302972176525;0,00477687797519231;0,0241776836880918;FALSE
"73";"49";1;35,2976666666667;0,40975;0,685116666666667;0,0832666666666667;0,966622911807202;0,011608416042609;0,0310181031796247;FALSE
"74";"50";1;13,2941666666667;12,8969166666667;0,39725;0;0;0,97011847301448;1;TRUE
"75";"50";2;27,2726166666667;0,289883333333333;0,124166666666667;0;0,984818105095648;0,0106290986624557;0,0151818949043516;FALSE
"76";"51";1;73,3514666666667;0,0327833333333333;1,08706666666667;0;0,984733093271482;0,000446934939723995;0,015266906728518;FALSE
"77";"52";1;0,946066666666667;0,946066666666667;0;0;0;1;1;TRUE
"78";"52";2;25,3126166666667;4,96973333333333;0;0,30375;0,791665816190477;0,19633423911791;0,19633423911791;FALSE
"79";"53";1;25,0320833333333;0,0110666666666667;0,14805;0;0,993643490853405;0,000442099305890773;0,0063565091465952;FALSE
"80";"55";1;6,27161666666667;0,113066666666667;0,247133333333333;0;0,942566642837971;0,0180283127423285;0,0574333571620289;FALSE
"81";"55";2;43,91595;33,0152833333333;0;0,138583333333333;0,245060925092895;0,751783425687782;0,751783425687782;FALSE
"82";"57";1;0,277366666666667;0,00773333333333333;0,269633333333333;0;0;0,0278812642711213;1;TRUE
"83";"57";2;62,44305;15,76015;0;0,1204;0,745679463126801;0,252392379936598;0,252392379936598;FALSE
"84";"58";1;34,5754666666667;3,25105;0,578366666666667;0,0883166666666667;0,88669037005044;0,0940276535192584;0,110755313979855;FALSE
"85";"60";1;0,897233333333333;0,02475;0,854233333333333;0,01825;0;0,0275847977114834;0,979659694616785;TRUE
"86";"60";2;6,43851666666667;0,0267833333333333;0;0;0,995840139162488;0,00415986083751175;0,00415986083751175;FALSE
"87";"60";3;1,02068333333333;0,0247166666666667;0;0;0,97578419686158;0,0242158031384203;0,0242158031384203;FALSE
"88";"60";4;5,10686666666667;0,02605;0;0;0,994899024842369;0,0051009751576309;0,0051009751576309;FALSE
"89";"60";5;40,299;0,0269166666666667;0;0;0,999332076064749;0,000667923935250668;0,000667923935250668;FALSE
"90";"60";6;17,4148333333333;1,37683333333333;0,533233333333333;0,0234;0,888975873058408;0,0790609537846089;0,109680444831513;FALSE
"91";"62";1;47,0265666666667;0,12655;2,20845;0;0,950347215084807;0,00269103209037161;0,0496527849151933;FALSE
"92";"63";1;7,75965129564193;0,1739;1,5744;0,18455;0,750910198621225;0,0224108008690633;0,225306516155166;FALSE
"93";"63";2;67,0895;0,17115;0;0,02825;0,997027850855946;0,0025510698395427;0,0025510698395427;FALSE
"94";"64";1;38,6856;34,3256833333333;1,27218333333333;0,07495;0,0778786766479862;0,887298719247816;0,920183909947543;TRUE
"95";"64";2;132,336016666667;49,30875;0;0,0215666666666667;0,627234384793961;0,372602646218383;0,372602646218383;FALSE
"96";"64";3;22,6781666666667;0,0607;0;0;0,99732341679589;0,00267658320410968;0,00267658320410968;FALSE
"97";"65";1;1,30985;0,0115833333333333;0,57915;0;0,549006883739868;0,00884325177183138;0,450993116260132;FALSE
"98";"65";2;141,75395;96,3087833333333;0;0,287283333333333;0,318565255735966;0,679408110555885;0,679408110555885;FALSE
"99";"65";3;54,7022166666667;9,80901666666667;0;0,133566666666667;0,818241673935822;0,179316621233814;0,179316621233814;FALSE
"100";"66";1;4,05491666666667;0,603683333333333;0,91305;0,165466666666667;0,585145605129575;0,148876877864321;0,37404796646047;FALSE
"101";"66";2;24,71195;0,0945166666666667;0,0562666666666667;0,0392666666666667;0,992309388777494;0,0038247352664062;0,00610163638779349;FALSE
"102";"66";3;22,4853;0,0131333333333333;0;0,169433333333333;0,991880621265153;0,000584085306103691;0,000584085306103691;FALSE
"103";"66";4;27,6724666666667;3,03191666666667;0;0;0,890435619520727;0,109564380479273;0,109564380479273;FALSE
"104";"67";1;17,5478666666667;0,0116666666666667;3,56713333333333;0;0,79605498104233;0,000664848148682841;0,20394501895767;FALSE
"105";"67";2;26,6906833333333;11,0881166666667;0;0,03055;0,583425177699335;0,415430228150772;0,415430228150772;FALSE
"106";"67";3;15,3094166666667;0,0164833333333333;0;0,0223166666666667;0,997465612123257;0,00107667938578108;0,00107667938578108;FALSE
"107";"72";1;1,0059;0,0906;0,511416666666667;0,0976333333333333;0,304453723034099;0,090068595287802;0,598485601617126;FALSE
"108";"72";2;56,9698166666667;0,68;0;0;0,988063854865837;0,0119361451341631;0,0119361451341631;FALSE
"109";"74";1;27,08335;8,57671666666667;0,278433333333333;0,465116666666667;0,655867288697053;0,316678574351647;0,326959183409733;FALSE
"110";"75";1;1,63831666666667;0,0208;0,636016666666667;0;0,599090529913834;0,0126959582498296;0,400909470086166;FALSE
"111";"75";2;0;0;0;0;NA;NA;NA;TRUE
"112";"75";3;3,70961666666667;0,00728333333333333;0;0;0,998036634513;0,001963365487;0,001963365487;FALSE
"113";"75";4;36,7784535924617;0,0835;0;0;0,997729648969876;0,00227035103012364;0,00227035103012364;FALSE
"114";"75";5;94,2727166666667;55,4342166666667;0;0;0,411980277786274;0,588019722213726;0,588019722213726;FALSE
"115";"75";6;15,1551833333333;0,00665;0;0;0,999561206231971;0,00043879376802876;0,00043879376802876;FALSE
"116";"76";1;37,1197666666667;0,109066666666667;1,21606666666667;0,07645;0,962241590958277;0,00293823686032509;0,0356988594576295;FALSE
"117";"77";1;18,0590666666667;0,995966666666667;0,805533333333333;0,2215;0,887978706909918;0,0551505061169643;0,0997559859128932;FALSE
"118";"77";2;0,0565333333333333;0,0565333333333333;0;0;0;1;1;TRUE
"119";"77";3;12,2918;12,1344166666667;0;0,157383333333333;0;0,987196071093466;0,987196071093466;TRUE
"120";"77";4;3,81481666666667;0,06495;0;0;0,982974280109573;0,0170257198904272;0,0170257198904272;FALSE
"121";"92";1;1,051;0,06255;0,960916666666667;0,0275333333333333;0;0,0595147478591817;0,973802727561053;TRUE
"122";"92";2;34,6485166666667;0,0133833333333333;0;0;0,999613740078339;0,000386259921660908;0,000386259921660908;FALSE
